TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20220101222474,2,24,25,1,0,0,0
20220101222474,3,57,24,2,0,0,0
20220101222474,4,30,25,2,0,0,0
20220101222495,1,80,18,2,0,0,0
20220101222495,2,77,20,1,0,0,0
20220101222498,1,63,18,1,0,0,0
20220101222498,2,65,20,2,0,0,0
20220101222510,1,62,19,1,0,0,0
20220101222557,1,15,18,2,0,0,0
20220101222557,2,45,24,1,0,0,0
20220101222557,3,46,24,2,0,0,0
20220101222557,4,6,25,1,0,0,0
20220101222576,1,46,18,1,0,0,0
20220101222576,2,44,20,2,0,0,0
20220101222576,3,24,22,2,0,0,0
20220101222576,4,19,22,1,0,0,0
20220101222576,5,11,22,1,0,0,0
20220101222578,1,60,18,1,0,0,0
20220101222578,2,60,20,2,0,0,0
20220101222581,1,58,18,1,0,0,0
20220101222581,2,52,20,2,0,0,0
20220101222581,3,18,22,2,0,0,0
20220101222581,4,15,22,1,0,0,0
20220101222591,1,32,18,2,0,0,0
20220101222591,2,33,20,1,0,0,0
20220101222591,3,12,22,1,0,0,0
20220101222591,4,8,22,2,0,0,0
20220101222591,5,24,25,1,0,0,0
20220101222591,6,20,25,1,0,0,0
20220101222600,1,62,19,1,0,0,0
20220110210943,1,60,18,2,0,0,0
20220110210943,2,39,22,1,0,0,0
20220110210943,3,17,23,1,0,0,0
20220110211245,1,38,18,1,0,0,0
20220110211245,2,20,20,2,0,0,0
20220110211245,3,1,22,2,0,0,0
20220110211366,1,44,18,1,0,0,0
20220110211366,2,43,20,2,0,0,0
20220110211366,3,10,22,2,0,0,0
20220110211366,4,10,22,2,0,0,0
20220110211483,1,80,18,1,0,0,0
20220110211483,2,68,20,2,0,0,0
20220110211646,1,15,18,1,0,0,0
20220110211646,2,42,24,1,0,0,0
20220110211646,3,17,25,2,0,0,0
20220110211646,4,2,25,2,0,0,0
20220110211646,5,3,25,1,0,0,0
20220110211646,6,46,26,2,0,0,0
20220110211646,7,27,24,2,0,0,0
20220110211818,1,17,18,1,0,0,0
20220110211818,2,44,24,2,0,0,0
20220110211818,3,45,24,1,0,0,0
20220110211818,4,15,25,2,0,0,0
20220110211818,5,13,25,1,0,0,0
20220110211818,6,12,25,2,0,0,0
20220110211970,1,47,18,1,0,0,0
20220110211970,2,59,20,2,0,0,0
20220110211970,3,13,22,1,0,0,0
20220110211970,4,12,22,2,0,0,0
20220110211970,5,10,22,2,0,0,0
20220110211970,6,50,26,2,0,0,0
20220110212574,1,53,18,2,0,0,0
20220110212574,2,68,20,1,0,0,0
20220110212574,3,19,22,1,0,0,0
20220110212574,4,17,22,1,0,0,0
20220111210019,1,31,18,2,0,0,0
20220111210019,2,31,21,1,0,0,0
20220111210029,1,64,18,1,0,0,0
20220111210029,2,57,20,2,0,0,0
20220111210058,1,20,18,2,0,0,0
20220111210058,2,2,22,1,0,0,0
20220111210501,1,80,18,1,0,0,0
20220111210501,2,80,20,2,0,0,0
20220111210523,1,49,18,2,0,0,0
20220111210523,2,44,20,1,0,0,0
20220111210523,3,10,22,2,0,0,0
20220111210532,1,15,18,2,0,0,0
20220111210532,2,41,24,2,0,0,0
20220111210532,3,11,25,1,0,0,0
20220111210532,4,35,30,1,0,0,0
20220111210559,1,28,18,2,0,0,0
20220111210559,2,63,24,2,0,0,0
20220111210559,3,8,22,2,0,0,0
20220111210559,4,0,22,2,0,0,0
20220111210560,1,77,18,1,0,0,0
20220111210560,2,74,20,2,0,0,0
20220111210577,1,18,18,1,0,0,0
20220111210577,2,80,26,2,0,0,0
20220111210588,1,78,19,2,0,0,0
20220111210597,1,27,18,1,0,0,0
20220111210597,2,27,20,2,0,0,0
20220111210597,3,8,22,2,0,0,0
20220111210597,4,6,22,2,0,0,0
20220111210623,1,44,18,1,0,0,0
20220111210623,2,43,20,2,0,0,0
20220111210623,3,18,22,2,0,0,0
20220111210623,4,8,22,1,0,0,0
20220111210665,1,70,19,2,0,0,0
20220111210710,1,59,18,1,0,0,0
20220111210710,2,32,20,2,0,0,0
20220111210710,3,17,22,2,0,0,0
20220111210710,4,10,22,2,0,0,0
20220111210732,1,32,18,2,0,0,0
20220111210732,2,33,20,1,0,0,0
20220111210732,3,9,22,1,0,0,0
20220111210732,4,5,22,1,0,0,0
20220111210732,5,4,22,2,0,0,0
20220111210737,1,43,18,2,0,0,0
20220111210737,2,44,20,1,0,0,0
20220111210737,3,22,22,2,0,0,0
20220111210737,4,13,22,2,0,0,0
20220111210737,5,11,22,1,0,0,0
20220111210737,6,10,22,1,0,0,0
20220111210737,7,6,22,1,0,0,0
20220111210749,1,33,19,1,0,0,0
20220111210749,2,34,21,2,0,0,0
20220111210750,1,74,18,1,0,0,0
20220111210750,2,68,20,2,0,0,0
20220111210753,1,68,18,2,0,0,0
20220111210753,2,67,20,1,0,0,0
20220111210768,1,47,18,1,0,0,0
20220111210768,2,48,20,2,0,0,0
20220111210768,3,14,22,1,0,0,0
20220111210768,4,10,22,2,0,0,0
20220111210770,1,79,19,2,0,0,0
20220111210784,1,48,18,1,0,0,0
20220111210784,2,45,20,2,0,0,0
20220111210784,3,18,22,1,0,0,0
20220111210784,4,18,22,1,0,0,0
